===== RAPPORT YOLOv8 =====
Source analysée : C:/Users/willi/OneDrive/Bureau/Yolo/Travail_3/video0-115-2.mov

- person (confiance: 0.802)
- person (confiance: 0.645)
- person (confiance: 0.340)
- person (confiance: 0.748)
- person (confiance: 0.500)
- person (confiance: 0.426)
- person (confiance: 0.725)
- person (confiance: 0.422)
- person (confiance: 0.374)
- person (confiance: 0.696)
- person (confiance: 0.402)
- person (confiance: 0.343)
- person (confiance: 0.254)
- person (confiance: 0.718)
- person (confiance: 0.474)
- person (confiance: 0.296)
- person (confiance: 0.696)
- person (confiance: 0.432)
- person (confiance: 0.301)
- person (confiance: 0.700)
- person (confiance: 0.410)
- person (confiance: 0.285)
- person (confiance: 0.673)
- person (confiance: 0.428)
- person (confiance: 0.264)
- person (confiance: 0.675)
- person (confiance: 0.398)
- person (confiance: 0.687)
- person (confiance: 0.385)
- person (confiance: 0.261)
- person (confiance: 0.252)
- person (confiance: 0.702)
- person (confiance: 0.385)
- person (confiance: 0.373)
- person (confiance: 0.700)
- person (confiance: 0.385)
- person (confiance: 0.354)
- person (confiance: 0.280)
- person (confiance: 0.722)
- person (confiance: 0.372)
- person (confiance: 0.366)
- person (confiance: 0.677)
- person (confiance: 0.382)
- person (confiance: 0.330)
- person (confiance: 0.643)
- person (confiance: 0.436)
- person (confiance: 0.580)
- person (confiance: 0.490)
- person (confiance: 0.591)
- person (confiance: 0.443)
- person (confiance: 0.285)
- person (confiance: 0.601)
- person (confiance: 0.443)
- person (confiance: 0.373)
- person (confiance: 0.359)
- person (confiance: 0.708)
- person (confiance: 0.496)
- person (confiance: 0.486)
- person (confiance: 0.253)
- person (confiance: 0.660)
- person (confiance: 0.487)
- person (confiance: 0.473)
- person (confiance: 0.719)
- person (confiance: 0.573)
- person (confiance: 0.754)
- person (confiance: 0.670)
- person (confiance: 0.661)
- person (confiance: 0.647)
- person (confiance: 0.737)
- person (confiance: 0.638)
- person (confiance: 0.278)
- person (confiance: 0.668)
- person (confiance: 0.610)
- person (confiance: 0.717)
- person (confiance: 0.640)
- person (confiance: 0.265)
- person (confiance: 0.791)
- person (confiance: 0.749)
- person (confiance: 0.726)
- person (confiance: 0.422)
- person (confiance: 0.692)
- person (confiance: 0.492)
- person (confiance: 0.710)
- person (confiance: 0.700)
- person (confiance: 0.671)
- person (confiance: 0.378)
- person (confiance: 0.723)
- person (confiance: 0.301)
- person (confiance: 0.638)
- person (confiance: 0.482)
- person (confiance: 0.658)
- person (confiance: 0.361)
- person (confiance: 0.679)
- person (confiance: 0.252)
- person (confiance: 0.543)
- person (confiance: 0.393)
- person (confiance: 0.284)
- person (confiance: 0.541)
- person (confiance: 0.538)
- person (confiance: 0.643)
- person (confiance: 0.534)
- person (confiance: 0.555)
- person (confiance: 0.485)
- person (confiance: 0.255)
- person (confiance: 0.571)
- person (confiance: 0.544)
- person (confiance: 0.266)
- person (confiance: 0.650)
- person (confiance: 0.510)
- person (confiance: 0.639)
- person (confiance: 0.406)
- person (confiance: 0.608)
- person (confiance: 0.524)
- person (confiance: 0.693)
- person (confiance: 0.638)
- person (confiance: 0.282)
- person (confiance: 0.531)
- person (confiance: 0.420)
- person (confiance: 0.611)
- person (confiance: 0.495)
- person (confiance: 0.639)
- person (confiance: 0.299)
- person (confiance: 0.569)
- person (confiance: 0.440)
- person (confiance: 0.282)
- person (confiance: 0.397)
- person (confiance: 0.322)
- person (confiance: 0.290)
- person (confiance: 0.259)
- person (confiance: 0.468)
- person (confiance: 0.313)
- person (confiance: 0.290)
- person (confiance: 0.274)
- person (confiance: 0.266)
- person (confiance: 0.259)
- person (confiance: 0.544)
- person (confiance: 0.373)
- person (confiance: 0.540)
- person (confiance: 0.399)
- person (confiance: 0.394)
- person (confiance: 0.544)
- person (confiance: 0.469)
- person (confiance: 0.348)
- person (confiance: 0.604)
- person (confiance: 0.374)
- person (confiance: 0.306)
- person (confiance: 0.593)
- person (confiance: 0.569)
- person (confiance: 0.577)
- person (confiance: 0.706)
- person (confiance: 0.338)
- person (confiance: 0.611)
- person (confiance: 0.520)

Résumé par classe :
- person : 153

Total d’objets détectés : 153
===========================
